CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,449,-1,2,-,"4,287.95",381.75,"1,025","4,107.10","4,328.50",900,"20,150.00","1,800",2.65,3.50,"1,000",-0.65,2.80,35.12,"1,535",-229,"7,368",
,862,-8,10,-,"4,235.00",82.00,"1,025","4,054.20","4,274.95","1,025","20,200.00","1,800",2.75,3.30,"1,800",-0.45,2.90,34.85,"1,506",4,"3,345",
,10,-,-,-,"4,179.45",-,"1,025","3,901.05","4,235.60","1,000","20,250.00",50,3.50,4.10,450,-0.10,4.00,35.74,32,11,408,
,156,-,-,-,"3,755.10",-,"1,025","3,853.55","4,144.70","1,025","20,300.00","1,800",2.80,8.90,300,0.05,3.65,34.95,89,-21,709,
,9,-,-,-,"4,082.90",-,"1,025","3,806.60","4,133.25","1,025","20,350.00",75,3.60,8.50,50,-0.10,4.35,35.26,14,2,715,
,35,-,-,-,"3,890.30",-,"1,775","3,741.25","4,042.90","1,000","20,400.00",50,3.00,9.80,300,-0.75,3.05,33.42,162,31,502,
,6,-3,6,34.54,"3,996.50",9.95,425,"3,751.80","4,006.35",900,"20,450.00",300,3.00,5.00,300,-1.85,2.90,32.83,42,-11,112,
,"6,619",-17,50,-,"3,863.00",-18.95,50,"3,835.40","3,863.15",25,"20,500.00","1,150",4.30,4.75,"1,200",0.05,4.75,34.37,"6,107",509,"18,857",
,9,-,-,-,"3,864.75",-,"1,775","3,599.15","3,891.45","1,000","20,550.00",800,3.70,17.10,"1,775",-0.50,4.00,33.25,89,-39,63,
,199,-18,19,-,"3,824.85",274.85,25,"3,715.15","3,820.85",25,"20,600.00","7,175",4.25,6.35,400,-4.55,4.25,33.07,847,265,548,
,10,-,-,-,"3,628.40",-,"1,775","3,524.70","3,790.25","1,000","20,650.00",700,3.70,-,-,-14.75,4.40,32.80,491,-157,141,
,104,-,-,-,"3,690.00",-5.00,25,"3,563.35","3,741.55","1,000","20,700.00",325,4.00,8.00,500,-0.75,4.70,32.64,7,5,256,
,10,-,-,-,"3,666.45",-,"1,775","3,410.35","3,689.35","1,000","20,750.00",900,3.80,5.30,750,-0.25,5.30,32.71,36,-29,74,
,20,-,-,-,"3,200.00",-,"1,775","3,411.40","3,616.20",25,"20,800.00",125,4.20,7.50,500,-0.35,4.50,31.64,10,-2,350,
,8,-,-,-,"3,591.10",-,"1,775","3,313.65","3,593.50","1,000","20,850.00",900,3.70,17.20,"1,775",-0.35,6.45,32.69,272,-122,92,
,15,-,-,-,"3,394.50",-,"1,775","3,316.80","3,538.15","1,000","20,900.00",625,4.35,6.95,75,-0.40,4.95,31.17,62,9,431,
,8,-,-,-,"3,492.40",-,"1,775","3,241.80","3,501.85","1,000","20,950.00",800,3.70,9.30,600,-2.30,4.70,30.56,48,-14,56,
,"18,819",-446,697,-,"3,350.00",-35.60,50,"3,340.30","3,365.20",25,"21,000.00","3,075",6.20,6.55,25,-0.45,6.20,31.24,"19,735","1,120","73,728",
,9,-,-,-,"3,391.85",-,"1,775","3,143.50","3,400.90","1,000","21,050.00",800,5.20,7.50,200,-1.95,5.05,30.00,32,4,163,
,315,-5,5,-,"3,250.00",216.00,25,"3,220.85","3,305.10",25,"21,100.00",25,5.65,8.00,300,-0.85,5.70,30.04,353,-208,"1,159",
,9,-,-,-,"3,121.75",-,"1,775","3,054.65","3,320.30","1,000","21,150.00",725,5.00,9.80,200,-0.10,6.00,29.82,50,-22,109,
,47,-1,3,-,"3,170.00",-48.15,25,"3,115.95","3,265.75","1,000","21,200.00",900,4.65,7.35,100,-0.35,6.40,29.65,388,-9,595,
,20,-,-,-,"2,890.50",-,"1,025","2,942.20","3,188.25","1,000","21,250.00",175,6.00,9.00,50,-1.30,6.00,28.97,21,17,177,
,217,-,-,-,"3,100.00",-,"1,775","2,839.60","3,108.10",25,"21,300.00",800,5.40,10.00,500,-0.65,6.45,28.83,"3,312",40,"1,090",
,8,-,-,-,"3,083.45",-,"1,775","2,866.45","3,088.00","1,000","21,350.00",800,5.20,8.60,50,-,14.90,-,-,-,168,
,35,-,-,-,"2,740.00",-,"1,775","2,779.10","3,006.90",25,"21,400.00",250,5.35,7.05,100,-0.95,7.00,28.29,"1,843",-29,"1,820",
,7,-,-,-,"2,766.05",-,300,"2,772.90","2,994.10","1,025","21,450.00",600,5.30,9.00,50,0.90,8.75,28.76,2,2,119,
,"2,004",-18,28,-,"2,870.00",-17.10,50,"2,844.55","2,862.30",50,"21,500.00",225,7.05,8.25,625,-1.60,7.05,27.46,"30,498","-6,173","30,433",
,9,-,-,-,"2,712.35",-,"1,025","2,663.75","2,887.95","1,000","21,550.00",800,6.20,14.35,25,-1.35,7.05,27.03,162,-42,877,
,41,-,-,-,"2,820.00",-,"1,775","2,513.20","2,811.15",25,"21,600.00",600,6.50,10.00,"5,000",-0.95,8.20,27.18,"7,163",41,"2,083",
,14,-,-,-,"2,715.00",-,300,"2,584.55","2,789.05","1,000","21,650.00",600,7.00,14.85,25,-,8.85,27.04,2,-,468,
,76,-,-,-,"2,581.60",-,250,"2,430.10","2,731.00","1,000","21,700.00","1,500",7.20,11.55,300,-1.15,8.65,26.51,"3,773",70,"4,273",
,13,-,-,-,"2,500.00",-,425,"2,478.05","2,704.55","1,000","21,750.00","1,500",7.35,17.80,25,-2.25,8.25,25.89,43,41,306,
,69,-,-,-,"2,311.90",-,25,"2,527.15","2,614.60",25,"21,800.00","1,500",7.90,15.00,300,-2.30,9.00,25.79,"9,693","1,375","3,447",
,45,-,-,-,"2,410.30",-,325,"2,245.10","2,589.10","1,000","21,850.00",600,7.50,20.40,"1,000",-4.40,9.60,25.59,383,215,276,
,88,-,-,-,"2,800.00",-,25,"2,431.10","2,527.05","1,000","21,900.00",200,8.55,14.00,50,-2.35,9.80,25.23,"18,895",407,"2,008",
,21,-,-,-,"2,313.55",-,"1,775","2,183.75","2,510.05","1,025","21,950.00","1,275",8.60,14.45,"1,300",-3.00,10.40,25.02,"3,877",175,346,
,"17,799",-212,345,-,"2,354.70",-46.80,50,"2,349.40","2,375.65",25,"22,000.00","1,650",10.95,11.35,125,-2.30,10.95,24.77,"61,169","1,818","61,641",
,25,-,-,-,"2,237.90",-,"1,775","2,101.85","2,397.45","1,000","22,050.00",600,9.20,20.00,100,-2.05,11.85,24.63,"3,862","1,316","1,727",
,156,-,1,-,"2,340.00",230.00,900,"2,220.60","2,300.00",25,"22,100.00","1,500",9.80,21.00,100,-2.95,12.15,24.27,"8,206",772,"6,713",
,31,-,-,-,"2,134.25",-,"1,775","2,029.85","2,297.55","1,000","22,150.00",25,12.20,18.95,"1,000",-2.60,12.50,23.93,74,-6,285,
,927,-,-,-,"2,205.45",-,900,"2,126.40","2,223.00",25,"22,200.00","1,000",14.00,14.50,25,-2.45,14.05,23.94,"15,855",-684,"8,483",
,23,-,22,-,"2,103.00",68.80,"1,775","1,903.10","2,195.45",900,"22,250.00",600,11.10,16.00,250,-5.05,11.95,22.84,"1,170",603,717,
,85,-3,3,24.37,"2,170.00",300.00,50,"2,052.65","2,090.55",25,"22,300.00",200,15.30,16.00,50,-1.55,15.95,23.52,"18,110","-1,394","7,931",
,20,-,-,-,"1,959.70",-,"1,775","1,823.00","2,090.80","1,000","22,350.00",175,15.10,22.55,"1,000",-1.75,16.55,23.20,452,66,411,
,260,-1,9,26.06,"2,084.15",326.15,50,"1,959.05","1,989.60",50,"22,400.00",600,17.00,17.90,600,-2.50,17.50,22.96,"19,416",-62,"18,672",
,22,-,-,-,"1,867.85",-,"1,025","1,733.50","1,998.10","1,025","22,450.00",600,14.60,23.85,"1,000",-2.75,16.80,22.31,745,157,385,
,"10,433",-11,194,-,"1,886.95",-30.55,50,"1,861.65","1,884.15",25,"22,500.00",25,19.45,19.65,75,-2.00,19.40,22.43,"95,680","-3,341","51,033",
,45,-,-,-,"1,761.20",-,325,"1,583.15","1,921.30","1,000","22,550.00",600,16.20,26.15,"1,000",-5.55,17.15,21.44,483,-33,331,
,316,1,3,-,"1,833.85",22.85,50,"1,766.05","1,794.10",25,"22,600.00","1,200",21.40,22.35,25,-2.40,21.90,21.97,"16,959","-1,197","8,763",
,730,-,-,-,"1,788.60",-,"1,025","1,609.15","1,803.45","1,000","22,650.00",600,15.65,35.35,"1,000",-2.45,24.05,21.89,440,-145,332,
,319,-1,4,-,"1,600.00",-65.00,50,"1,666.60","1,703.70",50,"22,700.00",100,22.30,30.00,25,-2.60,23.85,21.34,"19,916",-704,"22,920",
,48,-,-,-,"1,541.60",-,"1,775","1,465.60","1,742.15","1,025","22,750.00",600,20.40,31.75,25,-3.85,24.75,21.00,290,53,663,
,291,-43,45,16.02,"1,659.25",21.45,25,"1,562.45","1,594.55",25,"22,800.00",50,22.40,29.00,50,-1.80,28.25,21.08,"30,037",980,"27,584",
,15,-,-,-,"1,460.40",-,"1,775","1,384.95","1,626.50","1,000","22,850.00",600,21.50,37.50,"1,000",-1.70,30.45,20.91,832,-68,852,
,159,-,-,-,"1,540.25",-,900,"1,351.55","1,530.45",25,"22,900.00",725,25.00,33.60,25,-8.70,25.00,19.51,"13,505",-936,"11,686",
,115,-,-,-,"1,414.00",-,"1,775","1,286.60","1,533.15","1,000","22,950.00",275,28.00,35.00,500,-2.55,33.70,20.33,"2,433",288,"1,412",
,"18,603",-630,"2,974",-,"1,390.00",-44.35,50,"1,385.55","1,400.05",100,"23,000.00",325,37.20,37.60,150,-1.75,37.70,20.33,"1,12,893","2,675","1,39,441",
,42,-,-,-,"1,352.40",-,25,"1,301.45","1,417.20","1,000","23,050.00",150,39.00,47.90,"1,000",-2.45,39.30,19.99,"2,335",124,"1,166",
,300,-4,14,-,"1,309.90",-40.10,25,"1,286.95","1,308.25",25,"23,100.00",125,41.70,43.00,400,-2.15,41.70,19.73,"15,999","1,099","16,874",
,81,-,-,-,"1,050.00",-,"1,775","1,119.10","1,307.50",25,"23,150.00",750,32.00,50.00,25,-2.35,45.30,19.59,"3,699",69,"1,437",
,"1,220",-16,41,-,"1,208.75",-38.75,25,"1,187.85","1,220.65",25,"23,200.00",800,47.20,49.70,25,-11.05,40.00,18.40,"34,372","-1,999","58,586",
,513,-,-,-,982.95,-,"1,775","1,028.30","1,233.85","1,000","23,250.00",25,50.50,65.45,"1,775",-3.05,51.25,19.08,"2,256",301,"1,612",
,986,7,69,-,"1,118.85",-23.55,125,"1,040.25","1,119.85",25,"23,300.00",25,50.70,55.45,125,-1.85,55.00,18.87,"34,984","-2,082","44,565",
,283,-4,15,-,"1,089.45",166.20,75,"1,057.20","1,092.20",75,"23,350.00",100,58.85,72.10,"1,000",-5.40,56.45,18.41,"2,502",130,"1,505",
,"1,367",10,179,-,"1,033.35",-36.25,150,"1,010.15","1,032.10",25,"23,400.00","1,800",60.70,64.00,625,-2.55,64.00,18.51,"24,596",740,"25,849",
,339,-,-,-,"1,024.00",-,25,890.10,"1,020.00",25,"23,450.00",25,64.20,79.00,25,-2.00,69.40,18.36,"2,385",696,"1,763",
,"19,234",-210,"2,015",-,930.00,-42.85,25,925.45,934.00,100,"23,500.00","1,375",75.90,75.95,725,-0.95,75.90,18.26,"1,11,156",154,"1,45,870",
,420,-,4,-,860.00,-50.00,75,858.80,917.15,75,"23,550.00",25,60.00,95.00,50,13.30,94.95,19.08,"2,403",-74,"1,175",
,"1,057",15,109,-,848.00,-39.95,75,830.25,848.80,200,"23,600.00",25,83.50,87.40,25,-2.05,85.90,17.73,"24,989","1,447","17,692",
,442,-57,73,9.95,819.75,-14.20,50,749.40,820.80,25,"23,650.00",25,71.00,101.50,50,0.20,95.05,17.71,"4,922","1,044","3,391",
,"4,626",-53,240,7.56,761.05,-37.20,25,748.65,762.05,200,"23,700.00",325,100.55,102.20,75,0.95,102.20,17.52,"49,724","-1,719","30,160",
,582,-2,53,8.52,717.50,-36.90,200,715.90,728.40,75,"23,750.00",500,108.75,111.05,325,-1.00,109.20,17.27,"5,822",458,"2,725",
,"3,727",-85,"1,595",9.75,680.50,-35.40,75,670.95,681.40,200,"23,800.00",75,118.20,119.40,50,-0.80,118.00,17.11,"46,398",-581,"48,365",
,388,-140,227,9.73,635.95,-44.50,25,592.90,665.55,550,"23,850.00",50,97.55,144.95,50,2.55,129.85,17.09,"3,313",248,"1,910",
,"2,705",-13,914,10.45,600.90,-36.60,100,590.45,602.40,225,"23,900.00",325,138.45,141.00,25,2.95,141.05,16.98,"24,844",960,"22,578",
,827,-14,206,10.63,561.80,-32.15,225,512.05,578.70,225,"23,950.00",25,114.00,160.00,"1,500",1.65,151.05,16.76,"3,187",454,"2,402",
,"70,822","-3,623","42,798",10.92,526.00,-35.60,25,521.60,527.00,250,"24,000.00","42,775",164.65,164.90,100,4.95,164.65,16.70,"2,06,360","-10,907","1,83,671",
,"1,108",-21,407,11.07,489.95,-32.90,250,488.50,489.00,125,"24,050.00",200,130.00,180.10,325,3.70,178.00,16.57,"3,403",152,"2,972",
,"23,243","-1,437","13,571",10.86,449.35,-39.65,100,448.40,458.40,75,"24,100.00",150,190.00,192.00,175,3.15,192.00,16.43,"35,723","-2,887","36,045",
,"1,944",-71,"1,313",11.22,420.05,-34.35,25,371.80,433.50,25,"24,150.00",50,171.15,210.40,300,4.65,209.50,16.43,"3,350",285,"4,008",
,"29,967","-2,163","39,297",11.16,385.00,-38.30,25,385.00,386.00,"1,000","24,200.00",50,222.00,224.95,325,6.55,225.00,16.26,"67,009",-72,"50,712",
,"3,947",73,"7,910",11.29,355.25,-33.95,275,350.30,356.05,275,"24,250.00",200,241.00,243.80,325,3.40,241.00,16.07,"12,924","-1,155","4,164",
,"49,301","-8,447","1,19,201",11.27,324.00,-35.40,100,324.05,325.00,275,"24,300.00",25,260.05,262.65,50,6.25,262.80,16.12,"1,54,808","-5,414","57,552",
,"4,930",879,"11,234",11.23,294.10,-35.30,"1,775",294.00,296.45,300,"24,350.00",100,281.00,284.00,50,8.40,284.00,16.08,"14,443",-421,"3,921",
,"51,303","2,548","99,411",11.30,268.00,-33.50,325,265.50,268.00,400,"24,400.00",25,305.05,306.00,"2,000",7.70,306.00,16.02,"98,913","8,695","61,118",
,"4,490","1,354","14,515",11.35,243.30,-30.15,50,240.30,242.80,325,"24,450.00",300,325.80,330.80,300,8.85,330.00,16.00,"9,738",453,"3,136",
,"1,38,371","4,752","1,67,609",11.30,218.00,-30.75,75,215.55,218.40,150,"24,500.00",300,350.50,355.00,25,8.50,352.85,15.87,"1,15,176","-4,063","1,39,875",
,"3,504",351,"5,891",11.31,195.70,-28.70,25,193.00,195.70,25,"24,550.00",275,377.90,383.60,275,7.60,380.00,15.89,"1,808",496,"3,379",
,"48,058","1,255","51,037",11.37,176.00,-28.45,75,174.05,176.00,25,"24,600.00",25,412.35,415.50,50,11.90,412.30,16.10,"20,300",125,"82,442",
,"4,275",123,"7,490",11.31,155.50,-25.20,325,152.25,155.55,325,"24,650.00",300,430.95,450.50,300,6.15,436.75,15.88,585,66,"1,770",
,"34,601",176,"55,025",11.20,135.60,-25.60,50,135.60,136.90,25,"24,700.00",225,471.00,476.00,25,12.70,472.15,16.13,"8,158",-245,"37,006",
,"5,741",538,"8,134",11.28,121.05,-22.55,25,119.00,121.05,325,"24,750.00",200,500.25,514.80,"1,075",13.50,501.25,16.03,627,-19,"1,654",
,"49,959",583,"55,059",11.24,105.55,-21.00,50,104.00,105.30,325,"24,800.00",425,540.10,542.15,125,16.65,540.10,16.36,"9,059",-824,"47,551",
,"4,006",987,"8,337",11.15,90.75,-20.75,100,90.70,91.75,325,"24,850.00",300,566.60,587.45,150,16.85,579.05,16.65,307,84,"1,206",
,"31,134",807,"60,350",11.21,79.85,-18.15,50,78.80,80.00,325,"24,900.00",200,611.25,625.25,200,22.10,614.50,16.72,"6,263","-2,019","31,465",
,"5,843","1,498","11,789",11.17,68.55,-16.70,25,67.70,69.00,325,"24,950.00",25,643.90,664.70,25,25.95,653.90,16.96,426,-4,"1,604",
,"1,51,732","3,229","2,27,311",11.20,59.55,-14.65,"1,600",59.55,59.60,50,"25,000.00",200,690.35,699.85,100,28.15,697.40,17.39,"23,327",861,"76,937",
,"4,885",678,"10,098",11.24,51.55,-12.65,75,50.00,50.60,50,"25,050.00",25,726.15,745.70,25,2.20,721.55,16.66,197,3,"1,423",
,"27,041","2,679","44,705",11.16,43.15,-12.00,25,41.60,43.00,250,"25,100.00",50,773.10,784.85,75,33.15,782.60,18.05,865,-13,"13,008",
,"4,125",-417,"13,610",11.24,37.55,-10.40,25,36.00,37.85,25,"25,150.00",75,809.85,833.40,25,-80.20,714.40,10.35,4,-,668,
,"42,840","3,206","66,562",11.15,30.90,-9.95,"1,350",30.90,31.25,300,"25,200.00",25,856.75,872.70,25,29.60,860.85,18.16,347,-88,"2,717",
,"3,235",299,"5,415",11.20,26.45,-9.25,25,25.00,30.00,50,"25,250.00",25,900.70,923.60,75,17.60,899.95,18.15,12,4,321,
,"32,417","6,317","56,749",11.42,23.95,-6.00,100,22.05,23.95,300,"25,300.00",50,948.30,964.10,25,44.45,960.85,19.54,345,-7,"1,461",
,"2,193",-436,"6,359",11.38,19.80,-6.30,25,18.50,24.65,200,"25,350.00",50,992.05,"1,017.40",75,21.95,"1,033.05",21.63,13,1,111,
,"25,867",-64,"36,595",11.40,16.65,-6.05,125,16.60,18.90,25,"25,400.00",50,"1,047.00","1,061.15",50,44.90,"1,056.95",20.61,254,-126,"12,584",
,"2,567",840,"8,531",11.53,14.60,-5.60,25,13.80,21.95,"1,325","25,450.00",50,"1,087.30","1,114.55",25,-39.85,"1,015.20",13.68,71,-45,278,
,"75,647","6,099","75,059",11.88,14.00,-4.25,"1,200",13.50,14.00,600,"25,500.00",50,"1,142.55","1,151.30",25,44.10,"1,151.65",21.54,"2,298",-134,"19,670",
,"2,272",-173,"4,097",11.74,11.00,-5.20,950,10.20,18.00,25,"25,550.00",25,"1,132.35","1,248.95",25,-,"1,385.35",-,-,-,84,
,"16,130",931,"26,395",12.07,10.55,-3.85,25,10.50,11.95,25,"25,600.00",25,"1,235.05","1,254.20",25,19.55,"1,224.55",20.79,147,82,608,
,"1,949",386,"1,990",11.97,8.35,-5.40,600,8.30,9.90,250,"25,650.00",25,"1,232.50","1,405.40","1,775",-,"1,660.00",-,-,-,53,
,"17,869",-495,"12,124",12.28,8.00,-3.65,525,8.00,8.95,50,"25,700.00",25,"1,329.85","1,350.75",25,-,"1,301.00",-,-,-,140,
,"1,146",-23,262,12.45,7.20,-3.75,600,7.05,12.10,150,"25,750.00",25,"1,323.05","1,466.90","1,000",-,"1,558.40",-,-,-,36,
,"17,868",130,"7,401",12.61,6.45,-3.25,600,6.40,8.00,150,"25,800.00",25,"1,428.90","1,451.45",50,-58.70,"1,363.05",17.01,15,-2,297,
,471,-89,397,13.07,6.70,-2.35,"2,100",5.70,8.50,300,"25,850.00","1,775","1,368.80","1,591.30","1,000",-,"1,797.60",-,-,-,31,
,"6,515",714,"6,720",13.32,6.30,-2.05,125,6.25,6.75,100,"25,900.00",25,"1,526.15","1,550.10",25,-160.85,"1,525.15",24.35,8,-,59,
,640,-24,292,13.59,6.00,-2.00,600,5.15,6.40,375,"25,950.00","1,775","1,497.05","1,686.05","1,000",-87.20,"1,632.80",29.38,1,-,29,
,"1,25,217","2,707","38,610",13.85,5.70,-2.05,"1,750",5.70,6.00,825,"26,000.00",100,"1,626.85","1,637.00",25,40.30,"1,632.85",26.14,"1,528",-210,"30,148",
,"1,059",-134,380,14.03,5.20,-1.95,800,4.35,6.50,500,"26,050.00",900,"1,501.95","1,787.70","1,025",-,"1,580.95",-,-,-,7,
,"2,713",62,780,14.39,5.20,-1.40,800,4.20,5.45,"1,500","26,100.00",450,"1,693.00","1,764.25",450,13.30,"2,050.00",-,-,-,18,
,379,-4,38,14.53,4.70,-1.10,800,3.90,6.00,550,"26,150.00",900,"1,591.10","1,867.80",250,-,"1,682.80",-,-,-,8,
,"15,086",243,"3,673",14.44,3.80,-1.90,50,3.80,5.00,425,"26,200.00",450,"1,784.70","1,871.35",450,-,"2,150.00",-,-,-,35,
,"1,092",-66,92,15.04,4.30,-1.25,500,4.15,4.75,25,"26,250.00",825,"1,688.25","1,965.75","1,000",-,"1,240.00",-,-,-,11,
,"4,683",217,"1,606",15.08,3.70,-1.40,900,3.60,4.55,200,"26,300.00",450,"1,890.20","1,995.25",450,-,"2,210.60",-,-,-,77,
,"2,200",57,151,15.91,4.65,-0.55,75,4.00,4.60,200,"26,350.00","1,025","1,786.30","2,070.15","1,000",-,"1,877.10",-,-,-,10,
,"2,036",-59,675,15.69,3.60,-1.10,650,3.35,4.40,100,"26,400.00",450,"1,981.25","2,094.90",450,-,"2,117.20",-,-,-,23,
,787,80,402,16.39,4.25,-1.10,200,3.35,4.25,75,"26,450.00","1,775","1,879.60","2,172.15","1,000",-,"2,101.80",-,-,-,38,
,"35,232","3,079","21,126",16.39,3.65,-0.40,75,3.55,3.65,500,"26,500.00",200,"2,113.85","2,144.95",25,34.80,"2,121.20",30.59,809,-279,"3,802",
,"2,019",-4,124,16.47,3.25,-1.35,75,3.20,3.85,25,"26,550.00","1,775","1,975.30","2,273.60","1,000",-,"2,499.95",-,-,-,14,
,"1,571",-212,690,16.80,3.25,-0.95,"7,375",3.25,3.70,200,"26,600.00",750,"2,147.40","2,323.50",325,93.25,"2,223.40",31.85,1,-1,57,
,419,173,224,17.45,3.75,-0.50,"2,375",3.10,3.75,"1,775","26,650.00","1,000","2,059.50","2,362.85","1,025",-,-,-,-,-,-,
,"1,565",94,673,17.28,3.00,-1.20,"1,900",3.00,3.95,"1,500","26,700.00","1,775","2,105.05","2,428.25","1,000",-10.05,"1,654.65",-,-,-,28,
,"1,362",602,"1,441",17.45,2.80,-1.05,100,2.70,2.95,25,"26,750.00","1,775","2,155.40","2,481.50","1,000",-,-,-,-,-,-,
